dataset	species	axis	submodule_id	display_label	n_module_genes	n_detected	coverage_fraction	coverage_class	detected_genes	missing_genes	interpretation_scope
GSE186800	Mus musculus	steroid_cholesterol_endocrine	CHOLESTEROL_BIOSYNTHESIS	Cholesterol biosynthesis	19	18	0.9474	adequate	DHCR24;DHCR7;EBP;FDFT1;FDPS;HMGCR;HMGCS1;HSD17B7;IDI1;LSS;MSMO1;MVD;MVK;NSDHL;PMVK;SC5D;SQLE;TM7SF2	CYP51A1	gene-coverage feasibility only; expression direction and statistical signal remain untested
GSE280297	Mus musculus	steroid_cholesterol_endocrine	CHOLESTEROL_BIOSYNTHESIS	Cholesterol biosynthesis	19	0	0.0	unresolved		CYP51A1;DHCR24;DHCR7;EBP;FDFT1;FDPS;HMGCR;HMGCS1;HSD17B7;IDI1;LSS;MSMO1;MVD;MVK;NSDHL;PMVK;SC5D;SQLE;TM7SF2	gene-coverage feasibility only; expression direction and statistical signal remain untested
GSE112098	Homo sapiens	steroid_cholesterol_endocrine	CHOLESTEROL_BIOSYNTHESIS	Cholesterol biosynthesis	19	19	1.0	adequate	CYP51A1;DHCR24;DHCR7;EBP;FDFT1;FDPS;HMGCR;HMGCS1;HSD17B7;IDI1;LSS;MSMO1;MVD;MVK;NSDHL;PMVK;SC5D;SQLE;TM7SF2		gene-coverage feasibility only; expression direction and statistical signal remain untested
GSE252321	Mus musculus	steroid_cholesterol_endocrine	CHOLESTEROL_BIOSYNTHESIS	Cholesterol biosynthesis	19	18	0.9474	adequate	DHCR24;DHCR7;EBP;FDFT1;FDPS;HMGCR;HMGCS1;HSD17B7;IDI1;LSS;MSMO1;MVD;MVK;NSDHL;PMVK;SC5D;SQLE;TM7SF2	CYP51A1	gene-coverage feasibility only; expression direction and statistical signal remain untested
GSE186800	Mus musculus	steroid_cholesterol_endocrine	CHOLESTEROL_UPTAKE_TRANSPORT_EXPORT	Cholesterol uptake, transport and export	19	19	1.0	adequate	ABCA1;ABCG1;ABCG5;ABCG8;APOA1;APOB;APOE;CD36;LDLR;LRP1;NPC1;NPC2;OSBPL1A;OSBPL2;OSBPL5;SCARB1;STARD3;STARD4;STARD5		gene-coverage feasibility only; expression direction and statistical signal remain untested
GSE280297	Mus musculus	steroid_cholesterol_endocrine	CHOLESTEROL_UPTAKE_TRANSPORT_EXPORT	Cholesterol uptake, transport and export	19	0	0.0	unresolved		ABCA1;ABCG1;ABCG5;ABCG8;APOA1;APOB;APOE;CD36;LDLR;LRP1;NPC1;NPC2;OSBPL1A;OSBPL2;OSBPL5;SCARB1;STARD3;STARD4;STARD5	gene-coverage feasibility only; expression direction and statistical signal remain untested
GSE112098	Homo sapiens	steroid_cholesterol_endocrine	CHOLESTEROL_UPTAKE_TRANSPORT_EXPORT	Cholesterol uptake, transport and export	19	18	0.9474	adequate	ABCA1;ABCG1;ABCG5;ABCG8;APOA1;APOB;APOE;CD36;LDLR;LRP1;NPC1;OSBPL1A;OSBPL2;OSBPL5;SCARB1;STARD3;STARD4;STARD5	NPC2	gene-coverage feasibility only; expression direction and statistical signal remain untested
GSE252321	Mus musculus	steroid_cholesterol_endocrine	CHOLESTEROL_UPTAKE_TRANSPORT_EXPORT	Cholesterol uptake, transport and export	19	16	0.8421	adequate	ABCA1;ABCG1;APOA1;APOE;CD36;LDLR;LRP1;NPC1;NPC2;OSBPL1A;OSBPL2;OSBPL5;SCARB1;STARD3;STARD4;STARD5	ABCG5;ABCG8;APOB	gene-coverage feasibility only; expression direction and statistical signal remain untested
GSE186800	Mus musculus	steroid_cholesterol_endocrine	STEROIDOGENESIS_CORE	Core steroidogenesis	12	11	0.9167	adequate	CYB5A;CYP11A1;CYP11B1;CYP11B2;CYP17A1;FDX1;FDXR;HSD3B1;HSD3B2;POR;STAR	CYP21A2	gene-coverage feasibility only; expression direction and statistical signal remain untested
GSE280297	Mus musculus	steroid_cholesterol_endocrine	STEROIDOGENESIS_CORE	Core steroidogenesis	12	0	0.0	unresolved		CYB5A;CYP11A1;CYP11B1;CYP11B2;CYP17A1;CYP21A2;FDX1;FDXR;HSD3B1;HSD3B2;POR;STAR	gene-coverage feasibility only; expression direction and statistical signal remain untested
GSE112098	Homo sapiens	steroid_cholesterol_endocrine	STEROIDOGENESIS_CORE	Core steroidogenesis	12	11	0.9167	adequate	CYB5A;CYP11A1;CYP11B1;CYP11B2;CYP17A1;CYP21A2;FDX1;FDXR;HSD3B1;HSD3B2;STAR	POR	gene-coverage feasibility only; expression direction and statistical signal remain untested
GSE252321	Mus musculus	steroid_cholesterol_endocrine	STEROIDOGENESIS_CORE	Core steroidogenesis	12	6	0.5	partial	CYB5A;CYP11A1;FDX1;FDXR;POR;STAR	CYP11B1;CYP11B2;CYP17A1;CYP21A2;HSD3B1;HSD3B2	gene-coverage feasibility only; expression direction and statistical signal remain untested
GSE186800	Mus musculus	steroid_cholesterol_endocrine	PROGESTERONE_BIOSYNTHESIS_RESPONSE	Progesterone biosynthesis and response	17	15	0.8824	adequate	CYP11A1;FKBP5;HAND2;HSD3B1;HSD3B2;NCOA1;NCOA2;NCOA3;PAQR5;PAQR7;PAQR8;PGR;PGRMC1;PGRMC2;STAR	AKR1C1;AKR1C2	gene-coverage feasibility only; expression direction and statistical signal remain untested
GSE280297	Mus musculus	steroid_cholesterol_endocrine	PROGESTERONE_BIOSYNTHESIS_RESPONSE	Progesterone biosynthesis and response	17	0	0.0	unresolved		AKR1C1;AKR1C2;CYP11A1;FKBP5;HAND2;HSD3B1;HSD3B2;NCOA1;NCOA2;NCOA3;PAQR5;PAQR7;PAQR8;PGR;PGRMC1;PGRMC2;STAR	gene-coverage feasibility only; expression direction and statistical signal remain untested
GSE112098	Homo sapiens	steroid_cholesterol_endocrine	PROGESTERONE_BIOSYNTHESIS_RESPONSE	Progesterone biosynthesis and response	17	17	1.0	adequate	AKR1C1;AKR1C2;CYP11A1;FKBP5;HAND2;HSD3B1;HSD3B2;NCOA1;NCOA2;NCOA3;PAQR5;PAQR7;PAQR8;PGR;PGRMC1;PGRMC2;STAR		gene-coverage feasibility only; expression direction and statistical signal remain untested
GSE252321	Mus musculus	steroid_cholesterol_endocrine	PROGESTERONE_BIOSYNTHESIS_RESPONSE	Progesterone biosynthesis and response	17	12	0.7059	adequate	CYP11A1;FKBP5;HAND2;NCOA1;NCOA2;NCOA3;PAQR5;PAQR7;PAQR8;PGRMC1;PGRMC2;STAR	AKR1C1;AKR1C2;HSD3B1;HSD3B2;PGR	gene-coverage feasibility only; expression direction and statistical signal remain untested
GSE186800	Mus musculus	steroid_cholesterol_endocrine	ESTROGEN_BIOSYNTHESIS	Estrogen biosynthesis and interconversion	9	8	0.8889	adequate	COMT;CYP19A1;CYP1A1;CYP1B1;HSD17B1;HSD17B12;HSD17B2;HSD17B7	HSD17B8	gene-coverage feasibility only; expression direction and statistical signal remain untested
GSE280297	Mus musculus	steroid_cholesterol_endocrine	ESTROGEN_BIOSYNTHESIS	Estrogen biosynthesis and interconversion	9	0	0.0	unresolved		COMT;CYP19A1;CYP1A1;CYP1B1;HSD17B1;HSD17B12;HSD17B2;HSD17B7;HSD17B8	gene-coverage feasibility only; expression direction and statistical signal remain untested
GSE112098	Homo sapiens	steroid_cholesterol_endocrine	ESTROGEN_BIOSYNTHESIS	Estrogen biosynthesis and interconversion	9	9	1.0	adequate	COMT;CYP19A1;CYP1A1;CYP1B1;HSD17B1;HSD17B12;HSD17B2;HSD17B7;HSD17B8		gene-coverage feasibility only; expression direction and statistical signal remain untested
GSE252321	Mus musculus	steroid_cholesterol_endocrine	ESTROGEN_BIOSYNTHESIS	Estrogen biosynthesis and interconversion	9	7	0.7778	adequate	COMT;CYP1A1;CYP1B1;HSD17B1;HSD17B12;HSD17B2;HSD17B7	CYP19A1;HSD17B8	gene-coverage feasibility only; expression direction and statistical signal remain untested
GSE186800	Mus musculus	steroid_cholesterol_endocrine	ESTROGEN_RECEPTOR_RESPONSE	Estrogen receptor response	13	13	1.0	adequate	CCND1;ESR1;ESR2;FOXA1;GPER1;GREB1;KLF4;NCOA1;NCOA2;NCOA3;NRIP1;PGR;TFF1		gene-coverage feasibility only; expression direction and statistical signal remain untested
GSE280297	Mus musculus	steroid_cholesterol_endocrine	ESTROGEN_RECEPTOR_RESPONSE	Estrogen receptor response	13	0	0.0	unresolved		CCND1;ESR1;ESR2;FOXA1;GPER1;GREB1;KLF4;NCOA1;NCOA2;NCOA3;NRIP1;PGR;TFF1	gene-coverage feasibility only; expression direction and statistical signal remain untested
GSE112098	Homo sapiens	steroid_cholesterol_endocrine	ESTROGEN_RECEPTOR_RESPONSE	Estrogen receptor response	13	13	1.0	adequate	CCND1;ESR1;ESR2;FOXA1;GPER1;GREB1;KLF4;NCOA1;NCOA2;NCOA3;NRIP1;PGR;TFF1		gene-coverage feasibility only; expression direction and statistical signal remain untested
GSE252321	Mus musculus	steroid_cholesterol_endocrine	ESTROGEN_RECEPTOR_RESPONSE	Estrogen receptor response	13	10	0.7692	adequate	CCND1;ESR1;FOXA1;GPER1;KLF4;NCOA1;NCOA2;NCOA3;NRIP1;TFF1	ESR2;GREB1;PGR	gene-coverage feasibility only; expression direction and statistical signal remain untested
GSE186800	Mus musculus	steroid_cholesterol_endocrine	ANDROGEN_TESTOSTERONE_BIOSYNTHESIS	Androgen and testosterone biosynthesis	9	8	0.8889	adequate	CYB5A;CYP11A1;CYP17A1;HSD17B3;HSD3B1;HSD3B2;POR;STAR	AKR1C3	gene-coverage feasibility only; expression direction and statistical signal remain untested
GSE280297	Mus musculus	steroid_cholesterol_endocrine	ANDROGEN_TESTOSTERONE_BIOSYNTHESIS	Androgen and testosterone biosynthesis	9	0	0.0	unresolved		AKR1C3;CYB5A;CYP11A1;CYP17A1;HSD17B3;HSD3B1;HSD3B2;POR;STAR	gene-coverage feasibility only; expression direction and statistical signal remain untested
GSE112098	Homo sapiens	steroid_cholesterol_endocrine	ANDROGEN_TESTOSTERONE_BIOSYNTHESIS	Androgen and testosterone biosynthesis	9	8	0.8889	adequate	AKR1C3;CYB5A;CYP11A1;CYP17A1;HSD17B3;HSD3B1;HSD3B2;STAR	POR	gene-coverage feasibility only; expression direction and statistical signal remain untested
GSE252321	Mus musculus	steroid_cholesterol_endocrine	ANDROGEN_TESTOSTERONE_BIOSYNTHESIS	Androgen and testosterone biosynthesis	9	4	0.4444	weak	CYB5A;CYP11A1;POR;STAR	AKR1C3;CYP17A1;HSD17B3;HSD3B1;HSD3B2	gene-coverage feasibility only; expression direction and statistical signal remain untested
GSE186800	Mus musculus	steroid_cholesterol_endocrine	TESTOSTERONE_CONVERSION_AROMATIZATION	Testosterone conversion and aromatization	11	6	0.5455	partial	CYP19A1;HSD17B2;SRD5A1;SRD5A2;SRD5A3;SULT2A1	AKR1C2;AKR1C3;UGT2B15;UGT2B17;UGT2B7	gene-coverage feasibility only; expression direction and statistical signal remain untested
GSE280297	Mus musculus	steroid_cholesterol_endocrine	TESTOSTERONE_CONVERSION_AROMATIZATION	Testosterone conversion and aromatization	11	0	0.0	unresolved		AKR1C2;AKR1C3;CYP19A1;HSD17B2;SRD5A1;SRD5A2;SRD5A3;SULT2A1;UGT2B15;UGT2B17;UGT2B7	gene-coverage feasibility only; expression direction and statistical signal remain untested
GSE112098	Homo sapiens	steroid_cholesterol_endocrine	TESTOSTERONE_CONVERSION_AROMATIZATION	Testosterone conversion and aromatization	11	11	1.0	adequate	AKR1C2;AKR1C3;CYP19A1;HSD17B2;SRD5A1;SRD5A2;SRD5A3;SULT2A1;UGT2B15;UGT2B17;UGT2B7		gene-coverage feasibility only; expression direction and statistical signal remain untested
GSE252321	Mus musculus	steroid_cholesterol_endocrine	TESTOSTERONE_CONVERSION_AROMATIZATION	Testosterone conversion and aromatization	11	3	0.2727	weak	HSD17B2;SRD5A1;SRD5A3	AKR1C2;AKR1C3;CYP19A1;SRD5A2;SULT2A1;UGT2B15;UGT2B17;UGT2B7	gene-coverage feasibility only; expression direction and statistical signal remain untested
GSE186800	Mus musculus	steroid_cholesterol_endocrine	ANDROGEN_RECEPTOR_SIGNALING	Androgen receptor signaling	11	10	0.9091	adequate	AR;FKBP5;FOXA1;NCOA1;NCOA2;NCOA3;NCOR1;NCOR2;SGK1;TMPRSS2	KLK3	gene-coverage feasibility only; expression direction and statistical signal remain untested
GSE280297	Mus musculus	steroid_cholesterol_endocrine	ANDROGEN_RECEPTOR_SIGNALING	Androgen receptor signaling	11	0	0.0	unresolved		AR;FKBP5;FOXA1;KLK3;NCOA1;NCOA2;NCOA3;NCOR1;NCOR2;SGK1;TMPRSS2	gene-coverage feasibility only; expression direction and statistical signal remain untested
