dataset	dataset_label	species	selected_expression_source	selection_score	previous_genes_extracted	selection_status	next_best_candidates
GSE186800	Gardnerella-triggered recurrent UTI bladder model	Mus musculus	project://02_data_raw/GSE186800/supplementary/GSE186800_Raw_geneCPM_matrix.txt.gz	166.0	39247	selected	GSE186800_clean_gene_symbol_matrix.tsv.gz:46.0 | GSE186800_repaired_gene_symbol_matrix.tsv.gz:46.0 | GSE186800_PBS_1.txt.gz:40.0
GSE280297	maternal UTI and preterm-birth model	Mus musculus	project://02_data_raw/GSE280297/supplementary/GSE280297_Normalized.counts.csv.gz	166.0	56748	selected	GSE280297_gene_count_clean_gene_symbol_matrix.tsv.gz:154.0 | GSE280297_gene_count_repaired_gene_symbol_matrix.tsv.gz:154.0 | GSE280297_gene_count.csv.gz:151.0
GSE112098	human urinary early-sepsis inflammatory comparator	Homo sapiens	project://02_data_raw/GSE112098/supplementary/GSE112098_IndependentValidationsetMatrix.txt.gz	163.0	23924	selected	GSE112098_series_matrix_repaired_gene_symbol_matrix.tsv.gz:151.0 | GSE112098_series_matrix_module_gene_coverage.tsv:101.0 | GSE112098_series_matrix.txt.gz:88.0
GSE252321	UPEC-responsive bladder single-cell validation	Mus musculus	project://02_data_raw/GSE252321/single_cell_matrices/GSM7999428_UPEC_1_matrix.tsv.gz	103.0	22231	selected	GSM7999429_UPEC_2_matrix.tsv.gz:103.0 | GSM7999426_Control_1_matrix.tsv.gz:103.0 | GSM7999427_Control_2_matrix.tsv.gz:103.0
