dataset	dataset_label	species	selected_expression_source	n_raw_tokens	n_sanitized_gene_symbols	n_curated_module_genes_detected	gene_universe_status	gene_universe_file	species_harmonization_requirement
GSE186800	Gardnerella-triggered recurrent UTI bladder model	Mus musculus	project://02_data_raw/GSE186800/supplementary/GSE186800_Raw_geneCPM_matrix.txt.gz	39247	21716	726	resolved_plausible	project://03_metadata/phaseU26A1_targeted_source_contrast_species_repair/GSE186800_U26A1_selected_source_gene_universe.txt	map mouse genes to one-to-one human orthologs for cross-dataset integration; retain mouse symbols for within-dataset scoring
GSE280297	maternal UTI and preterm-birth model	Mus musculus	project://02_data_raw/GSE280297/supplementary/GSE280297_Normalized.counts.csv.gz	56748	0	0	unresolved	project://03_metadata/phaseU26A1_targeted_source_contrast_species_repair/GSE280297_U26A1_selected_source_gene_universe.txt	map mouse genes to one-to-one human orthologs for cross-dataset integration; retain mouse symbols for tissue-stratified within-dataset scoring
GSE112098	human urinary early-sepsis inflammatory comparator	Homo sapiens	project://02_data_raw/GSE112098/supplementary/GSE112098_IndependentValidationsetMatrix.txt.gz	23924	20782	746	resolved_plausible	project://03_metadata/phaseU26A1_targeted_source_contrast_species_repair/GSE112098_U26A1_selected_source_gene_universe.txt	human symbols can be used directly after probe-to-gene collapse and duplicate-symbol handling
GSE252321	UPEC-responsive bladder single-cell validation	Mus musculus	project://02_data_raw/GSE252321/single_cell_matrices/GSM7999428_UPEC_1_matrix.tsv.gz	22231	15622	648	resolved_plausible	project://03_metadata/phaseU26A1_targeted_source_contrast_species_repair/GSE252321_U26A1_selected_source_gene_universe.txt	retain mouse symbols for within-cell-type scoring; use one-to-one human orthologs only for integrated cross-species summaries
