source_id	path	exists	is_directory
U26B1_1_primary_results	project://06_tables/phaseU26B1_1_GSE280297_stability_refinement	True	True
U26B2B1_independent_effects	project://06_tables/phaseU26B2B1_independent_dataset_evidence_collapse	True	True
U26C1_refined_synthesis	project://06_tables/phaseU26C1_interpretation_threshold_and_branch_refinement	True	True
U26D2A_cell_annotations	project://03_metadata/phaseU26D2A_GSE252321_marker_celltype_reconstruction	True	True
U26D2A1_refined_annotations	project://03_metadata/phaseU26D2A1_GSE252321_annotation_refinement	True	True
U26D2B_celltype_pseudobulk	project://06_tables/phaseU26D2B_GSE252321_refined_celltype_pseudobulk	True	True
U26D2C_cellular_synthesis	project://06_tables/phaseU26D2C_cellular_localization_synthesis	True	True
U27A4_final_figures	project://06_figures/phaseU27A4_final_visual_audit	True	True
