working_figure_number	working_figure	path	filename	format	size_bytes	modified_epoch	png_width_px	png_height_px	candidate_score	canonical_U27A4_source
10	Working_Figure_10	project://06_figures/phaseU26B2B_cross_dataset_scoring_integration/UTI_HostOmics_U26B2B_Figure_10_cross_dataset_effect_heatmap.png	UTI_HostOmics_U26B2B_Figure_10_cross_dataset_effect_heatmap.png	png	770245	1784053853.1133394	4031.0	2333.0	17870	False
10	Working_Figure_10	project://06_figures/phaseU27A_build_figures_7_to_11/UTI_HostOmics_U27A_Figure_10.png	UTI_HostOmics_U27A_Figure_10.png	png	781033	1784059879.4826386	5425.0	3829.0	17870	False
11	Working_Figure_11	project://06_figures/phaseU27A4_final_visual_audit/UTI_HostOmics_U27A4_Figure_11.svg	UTI_HostOmics_U27A4_Figure_11.svg	svg	80272	1784143753.0			19031	True
11	Working_Figure_11	project://06_figures/phaseU27A4_final_visual_audit/UTI_HostOmics_U27A4_Figure_11.pdf	UTI_HostOmics_U27A4_Figure_11.pdf	pdf	42159	1784143754.0			19026	True
11	Working_Figure_11	project://06_figures/phaseU27A4_final_visual_audit/UTI_HostOmics_U27A4_Figure_11.png	UTI_HostOmics_U27A4_Figure_11.png	png	502258	1784143753.0	2735.0	2536.0	19021	True
11	Working_Figure_11	project://06_figures/phaseU27A32_final_title_spacing_repair/UTI_HostOmics_U27A3_Figure_11.svg	UTI_HostOmics_U27A3_Figure_11.svg	svg	80272	1784143753.9306378			18031	False
11	Working_Figure_11	project://06_figures/phaseU27A32_final_title_spacing_repair/UTI_HostOmics_U27A3_Figure_11.pdf	UTI_HostOmics_U27A3_Figure_11.pdf	pdf	42159	1784143754.515118			18026	False
11	Working_Figure_11	project://06_figures/phaseU27A32_final_title_spacing_repair/UTI_HostOmics_U27A3_Figure_11.png	UTI_HostOmics_U27A3_Figure_11.png	png	502258	1784143753.5255008	2735.0	2536.0	18021	False
11	Working_Figure_11	project://06_figures/phaseU27A2_journal_width_figure_repair/UTI_HostOmics_U27A2_Figure_11.svg	UTI_HostOmics_U27A2_Figure_11.svg	svg	80272	1784137650.718455			17881	False
11	Working_Figure_11	project://06_figures/phaseU27A31_visual_diversity_layout_repair/UTI_HostOmics_U27A3_Figure_11.svg	UTI_HostOmics_U27A3_Figure_11.svg	svg	80272	1784142662.8359573			17881	False
11	Working_Figure_11	project://06_figures/phaseU27A3_visual_diversity_redesign/UTI_HostOmics_U27A3_Figure_11.svg	UTI_HostOmics_U27A3_Figure_11.svg	svg	80272	1784141584.2310038			17881	False
11	Working_Figure_11	project://06_figures/phaseU27A_build_figures_7_to_11/UTI_HostOmics_U27A_Figure_11.svg	UTI_HostOmics_U27A_Figure_11.svg	svg	296304	1784059884.4056923			17880	False
11	Working_Figure_11	project://06_figures/phaseU27A2_journal_width_figure_repair/UTI_HostOmics_U27A2_Figure_11.pdf	UTI_HostOmics_U27A2_Figure_11.pdf	pdf	42159	1784137651.326801			17876	False
11	Working_Figure_11	project://06_figures/phaseU27A31_visual_diversity_layout_repair/UTI_HostOmics_U27A3_Figure_11.pdf	UTI_HostOmics_U27A3_Figure_11.pdf	pdf	42159	1784142663.4830835			17876	False
11	Working_Figure_11	project://06_figures/phaseU27A3_visual_diversity_redesign/UTI_HostOmics_U27A3_Figure_11.pdf	UTI_HostOmics_U27A3_Figure_11.pdf	pdf	42159	1784141584.8341892			17876	False
11	Working_Figure_11	project://06_figures/phaseU27A_build_figures_7_to_11/UTI_HostOmics_U27A_Figure_11.pdf	UTI_HostOmics_U27A_Figure_11.pdf	pdf	93147	1784059885.5129087			17875	False
11	Working_Figure_11	project://06_figures/phaseU27A2_journal_width_figure_repair/UTI_HostOmics_U27A2_Figure_11.png	UTI_HostOmics_U27A2_Figure_11.png	png	502258	1784137650.3050652	2735.0	2536.0	17871	False
11	Working_Figure_11	project://06_figures/phaseU27A31_visual_diversity_layout_repair/UTI_HostOmics_U27A3_Figure_11.png	UTI_HostOmics_U27A3_Figure_11.png	png	502258	1784142662.3449986	2735.0	2536.0	17871	False
11	Working_Figure_11	project://06_figures/phaseU27A3_visual_diversity_redesign/UTI_HostOmics_U27A3_Figure_11.png	UTI_HostOmics_U27A3_Figure_11.png	png	502258	1784141583.8547552	2735.0	2536.0	17871	False
11	Working_Figure_11	project://06_figures/phaseU27A_build_figures_7_to_11/UTI_HostOmics_U27A_Figure_11.png	UTI_HostOmics_U27A_Figure_11.png	png	851153	1784059883.2077594	5667.0	3598.0	17870	False
