working_figure_number	working_figure	path	filename	format	size_bytes	modified_epoch	png_width_px	png_height_px	candidate_score	canonical_U27A4_source
7	Working_Figure_7	project://06_figures/phaseU27A32_final_title_spacing_repair/UTI_HostOmics_U27A32_Figure_7.png	UTI_HostOmics_U27A32_Figure_7.png	png	602767	1784143744.5870788	2308.0	2687.0	18021	False
7	Working_Figure_7	project://06_figures/phaseU26D2B_GSE252321_refined_celltype_pseudobulk/UTI_HostOmics_U26D2B_Figure_7_broad_celltypes.png	UTI_HostOmics_U26D2B_Figure_7_broad_celltypes.png	png	317926	1784058775.8981586	2661.0	2363.0	17920	False
7	Working_Figure_7	project://06_figures/phaseU27A2_journal_width_figure_repair/UTI_HostOmics_U27A2_Figure_7.svg	UTI_HostOmics_U27A2_Figure_7.svg	svg	84300	1784137643.9785876			17881	False
7	Working_Figure_7	project://06_figures/phaseU27A31_visual_diversity_layout_repair/UTI_HostOmics_U27A31_Figure_7.svg	UTI_HostOmics_U27A31_Figure_7.svg	svg	123294	1784142654.118065			17881	False
7	Working_Figure_7	project://06_figures/phaseU27A3_visual_diversity_redesign/UTI_HostOmics_U27A3_Figure_7.svg	UTI_HostOmics_U27A3_Figure_7.svg	svg	128377	1784141575.2871313			17881	False
7	Working_Figure_7	project://06_figures/phaseU26B1_1_GSE280297_stability_refinement/UTI_HostOmics_U26B1_1_Figure_7_primary_effect_heatmap.svg	UTI_HostOmics_U26B1_1_Figure_7_primary_effect_heatmap.svg	svg	116798	1784051628.5551693			17880	False
7	Working_Figure_7	project://06_figures/phaseU26B1_GSE280297_endocrine_metabolic_immune_scoring/UTI_HostOmics_U26B1_Figure_7_candidate_effect_heatmap.svg	UTI_HostOmics_U26B1_Figure_7_candidate_effect_heatmap.svg	svg	132801	1784051155.2745032			17880	False
7	Working_Figure_7	project://06_figures/phaseU26B2B1_independent_dataset_evidence_collapse/UTI_HostOmics_U26B2B1_Figure_7_independent_effect_heatmap.svg	UTI_HostOmics_U26B2B1_Figure_7_independent_effect_heatmap.svg	svg	86183	1784054233.6371953			17880	False
7	Working_Figure_7	project://06_figures/phaseU26B2B_cross_dataset_scoring_integration/UTI_HostOmics_U26B2B_Figure_7_cross_dataset_effect_heatmap.svg	UTI_HostOmics_U26B2B_Figure_7_cross_dataset_effect_heatmap.svg	svg	160535	1784053849.628196			17880	False
7	Working_Figure_7	project://06_figures/phaseU27A_build_figures_7_to_11/UTI_HostOmics_U27A_Figure_7.svg	UTI_HostOmics_U27A_Figure_7.svg	svg	332591	1784059868.6636236			17880	False
7	Working_Figure_7	project://06_figures/phaseU27A2_journal_width_figure_repair/UTI_HostOmics_U27A2_Figure_7.pdf	UTI_HostOmics_U27A2_Figure_7.pdf	pdf	38646	1784137644.721639			17876	False
7	Working_Figure_7	project://06_figures/phaseU27A31_visual_diversity_layout_repair/UTI_HostOmics_U27A31_Figure_7.pdf	UTI_HostOmics_U27A31_Figure_7.pdf	pdf	45306	1784142655.0872698			17876	False
7	Working_Figure_7	project://06_figures/phaseU27A3_visual_diversity_redesign/UTI_HostOmics_U27A3_Figure_7.pdf	UTI_HostOmics_U27A3_Figure_7.pdf	pdf	46856	1784141576.3952627			17876	False
7	Working_Figure_7	project://06_figures/phaseU27A_build_figures_7_to_11/UTI_HostOmics_U27A_Figure_7.pdf	UTI_HostOmics_U27A_Figure_7.pdf	pdf	77683	1784059870.0699923			17875	False
7	Working_Figure_7	project://06_figures/phaseU27A2_journal_width_figure_repair/UTI_HostOmics_U27A2_Figure_7.png	UTI_HostOmics_U27A2_Figure_7.png	png	630357	1784137643.576068	2350.0	2918.0	17871	False
7	Working_Figure_7	project://06_figures/phaseU27A31_visual_diversity_layout_repair/UTI_HostOmics_U27A31_Figure_7.png	UTI_HostOmics_U27A31_Figure_7.png	png	621585	1784142653.4657862	2373.0	2814.0	17871	False
7	Working_Figure_7	project://06_figures/phaseU27A3_visual_diversity_redesign/UTI_HostOmics_U27A3_Figure_7.png	UTI_HostOmics_U27A3_Figure_7.png	png	653547	1784141574.620365	2356.0	2842.0	17871	False
7	Working_Figure_7	project://06_figures/phaseU26B1_1_GSE280297_stability_refinement/UTI_HostOmics_U26B1_1_Figure_7_primary_effect_heatmap.png	UTI_HostOmics_U26B1_1_Figure_7_primary_effect_heatmap.png	png	582651	1784051628.3890526	3168.0	3065.0	17870	False
