working_figure_number	working_figure	asset_found	canonical_stem	canonical_png	canonical_svg	canonical_pdf	formats_available	selection_basis	requires_manual_review
1	Working_Figure_1	True	project://06_figures/phaseU18_figure1_draft/phaseU18_Figure1_draft_multicontext_UTI_hostomics_workflow	project://06_figures/phaseU18_figure1_draft/phaseU18_Figure1_draft_multicontext_UTI_hostomics_workflow.png	project://06_figures/phaseU18_figure1_draft/phaseU18_Figure1_draft_multicontext_UTI_hostomics_workflow.svg	project://06_figures/phaseU18_figure1_draft/phaseU18_Figure1_draft_multicontext_UTI_hostomics_workflow.pdf	pdf;png;svg	highest-scoring discovered source asset	True
2	Working_Figure_2	False						no matching asset discovered	True
3	Working_Figure_3	False						no matching asset discovered	True
4	Working_Figure_4	False						no matching asset discovered	True
5	Working_Figure_5	False						no matching asset discovered	True
6	Working_Figure_6	True	project://06_figures/phaseU20b_figure6_composite/phaseU20b_Figure6_composite_GSE252321_single_cell_validation	project://06_figures/phaseU20b_figure6_composite/phaseU20b_Figure6_composite_GSE252321_single_cell_validation.png	project://06_figures/phaseU20b_figure6_composite/phaseU20b_Figure6_composite_GSE252321_single_cell_validation.svg	project://06_figures/phaseU20b_figure6_composite/phaseU20b_Figure6_composite_GSE252321_single_cell_validation.pdf	pdf;png;svg	highest-scoring discovered source asset	True
7	Working_Figure_7	True	project://06_figures/phaseU27A4_final_visual_audit/UTI_HostOmics_U27A4_Figure_7	project://06_figures/phaseU27A4_final_visual_audit/UTI_HostOmics_U27A4_Figure_7.png	project://06_figures/phaseU27A4_final_visual_audit/UTI_HostOmics_U27A4_Figure_7.svg	project://06_figures/phaseU27A4_final_visual_audit/UTI_HostOmics_U27A4_Figure_7.pdf	pdf;png;svg	U27A4 normalized final asset	False
8	Working_Figure_8	True	project://06_figures/phaseU27A4_final_visual_audit/UTI_HostOmics_U27A4_Figure_8	project://06_figures/phaseU27A4_final_visual_audit/UTI_HostOmics_U27A4_Figure_8.png	project://06_figures/phaseU27A4_final_visual_audit/UTI_HostOmics_U27A4_Figure_8.svg	project://06_figures/phaseU27A4_final_visual_audit/UTI_HostOmics_U27A4_Figure_8.pdf	pdf;png;svg	U27A4 normalized final asset	False
9	Working_Figure_9	True	project://06_figures/phaseU27A4_final_visual_audit/UTI_HostOmics_U27A4_Figure_9	project://06_figures/phaseU27A4_final_visual_audit/UTI_HostOmics_U27A4_Figure_9.png	project://06_figures/phaseU27A4_final_visual_audit/UTI_HostOmics_U27A4_Figure_9.svg	project://06_figures/phaseU27A4_final_visual_audit/UTI_HostOmics_U27A4_Figure_9.pdf	pdf;png;svg	U27A4 normalized final asset	False
10	Working_Figure_10	True	project://06_figures/phaseU27A4_final_visual_audit/UTI_HostOmics_U27A4_Figure_10	project://06_figures/phaseU27A4_final_visual_audit/UTI_HostOmics_U27A4_Figure_10.png	project://06_figures/phaseU27A4_final_visual_audit/UTI_HostOmics_U27A4_Figure_10.svg	project://06_figures/phaseU27A4_final_visual_audit/UTI_HostOmics_U27A4_Figure_10.pdf	pdf;png;svg	U27A4 normalized final asset	False
11	Working_Figure_11	True	project://06_figures/phaseU27A4_final_visual_audit/UTI_HostOmics_U27A4_Figure_11	project://06_figures/phaseU27A4_final_visual_audit/UTI_HostOmics_U27A4_Figure_11.png	project://06_figures/phaseU27A4_final_visual_audit/UTI_HostOmics_U27A4_Figure_11.svg	project://06_figures/phaseU27A4_final_visual_audit/UTI_HostOmics_U27A4_Figure_11.pdf	pdf;png;svg	U27A4 normalized final asset	False
