panel_key	source_id	source_role	issue
Figure_2A	U26B2B1_primary_effects	primary_independent_effects	NO_CANDIDATE_MATCHED_EXACT_RULE
Figure_5A	U27A4_Figure_7A	primary_independent_effects	NO_CANDIDATE_MATCHED_EXACT_RULE
Figure_6A	U27A4_Figure_8A	primary_independent_effects	NO_CANDIDATE_MATCHED_EXACT_RULE
Figure_6G	U27A4_Figure_9_selected_AA_NO		NO_DETERMINISTIC_RULE_DEFINED
Figure_6H	U27A4_Figure_9_selected_purine_redox		NO_DETERMINISTIC_RULE_DEFINED
Figure_7A	U27A4_Figure_10A	primary_independent_effects	NO_CANDIDATE_MATCHED_EXACT_RULE
Figure_8A	U27A4_Figure_11A	primary_independent_effects	NO_CANDIDATE_MATCHED_EXACT_RULE
